number,title,link,level
76,H-Index,https://school.programmers.co.kr/learn/courses/30/lessons/42747,3
77,n^2 배열 자르기,https://school.programmers.co.kr/learn/courses/30/lessons/87390,3
78,행렬의 곱셈,https://school.programmers.co.kr/learn/courses/30/lessons/12949,3
79,할인 행사,https://school.programmers.co.kr/learn/courses/30/lessons/131127,3
80,의상,https://school.programmers.co.kr/learn/courses/30/lessons/42578,3
81,기능개발,https://school.programmers.co.kr/learn/courses/30/lessons/42586,3
82,프로세스,https://school.programmers.co.kr/learn/courses/30/lessons/42587,3
83,피로도,https://school.programmers.co.kr/learn/courses/30/lessons/87946,4
84,타겟 넘버,https://school.programmers.co.kr/learn/courses/30/lessons/43165,4
85,k진수에서 소수 개수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/92335,4
86,주차 요금 계산,https://school.programmers.co.kr/learn/courses/30/lessons/92341,4
87,모음사전,https://school.programmers.co.kr/learn/courses/30/lessons/84512,4
88,뒤에 있는 큰 수 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/154539,4
89,롤케이크 자르기,https://school.programmers.co.kr/learn/courses/30/lessons/132265,4
90,숫자 변환하기,https://school.programmers.co.kr/learn/courses/30/lessons/154538,4
91,2개 이하로 다른 비트,https://school.programmers.co.kr/learn/courses/30/lessons/77885,4
92,다리를 지나는 트럭,https://school.programmers.co.kr/learn/courses/30/lessons/42583,4
93,가장 큰 수,https://school.programmers.co.kr/learn/courses/30/lessons/42746,4
94,소수 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/42839,4
95,쿼드압축 후 개수 세기,https://school.programmers.co.kr/learn/courses/30/lessons/68936,4
96,택배상자,https://school.programmers.co.kr/learn/courses/30/lessons/131704,4
97,큰 수 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/42883,4
98,삼각 달팽이,https://school.programmers.co.kr/learn/courses/30/lessons/68645,4
99,연속된 부분 수열의 합,https://school.programmers.co.kr/learn/courses/30/lessons/178870,4
100,두 큐 합 같게 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/118667,4
101,무인도 여행,https://school.programmers.co.kr/learn/courses/30/lessons/154540,4
102,행렬 테두리 회전하기,https://school.programmers.co.kr/learn/courses/30/lessons/77485,4
103,전력망을 둘로 나누기,https://school.programmers.co.kr/learn/courses/30/lessons/86971,4
104,배달,https://school.programmers.co.kr/learn/courses/30/lessons/12978,4
105,호텔 대실,https://school.programmers.co.kr/learn/courses/30/lessons/155651,4
106,점 찍기,https://school.programmers.co.kr/learn/courses/30/lessons/140107,4
107,마법의 엘리베이터,https://school.programmers.co.kr/learn/courses/30/lessons/148653,4
108,거리두기 확인하기,https://school.programmers.co.kr/learn/courses/30/lessons/81302,4
109,숫자 카드 나누기,https://school.programmers.co.kr/learn/courses/30/lessons/135807,4
110,멀쩡한 사각형,https://school.programmers.co.kr/learn/courses/30/lessons/62048,4
111,시소 짝꿍,https://school.programmers.co.kr/learn/courses/30/lessons/152996,4
112,테이블 해시 함수,https://school.programmers.co.kr/learn/courses/30/lessons/147354,4
113,하노이의 탑,https://school.programmers.co.kr/learn/courses/30/lessons/12946,5
114,미로 탈출,https://school.programmers.co.kr/learn/courses/30/lessons/159993,5
115,혼자 놀기의 달인,https://school.programmers.co.kr/learn/courses/30/lessons/131130,5
116,광물 캐기,https://school.programmers.co.kr/learn/courses/30/lessons/172927,5
117,리코쳇 로봇,https://school.programmers.co.kr/learn/courses/30/lessons/169199,5
118,디펜스 게임,https://school.programmers.co.kr/learn/courses/30/lessons/142085,5
119,우박수열 정적분,https://school.programmers.co.kr/learn/courses/30/lessons/134239,5
120,두 원 사이의 정수 쌍,https://school.programmers.co.kr/learn/courses/30/lessons/181187,5
121,N-Queen,https://school.programmers.co.kr/learn/courses/30/lessons/12952,5
122,과제 진행하기,https://school.programmers.co.kr/learn/courses/30/lessons/176962,5
123,조이스틱,https://school.programmers.co.kr/learn/courses/30/lessons/42860,5
124,혼자서 하는 틱택토,https://school.programmers.co.kr/learn/courses/30/lessons/160585,5
125,이모티콘 할인행사,https://school.programmers.co.kr/learn/courses/30/lessons/150368,5
126,요격 시스템,https://school.programmers.co.kr/learn/courses/30/lessons/181188,5
127,양궁 대회,https://school.programmers.co.kr/learn/courses/30/lessons/92342,5
128,교점에 별 만들기,https://school.programmers.co.kr/learn/courses/30/lessons/87377,5
129,택배 배달과 수거하기,https://school.programmers.co.kr/learn/courses/30/lessons/150369,5
130,유사 칸토어 비트열,https://school.programmers.co.kr/learn/courses/30/lessons/148652,5
131,당구 연습,https://school.programmers.co.kr/learn/courses/30/lessons/169198,5
132,빛의 경로 사이클,https://school.programmers.co.kr/learn/courses/30/lessons/86052,5
